Approved.symbol	Previous.symbols	Alias.symbols	NCBI.Gene.ID	Ensembl.gene.ID
SEC11A	SEC11L1	SPC18, sid2895, SPCS4A	23478	ENSG00000140612
SEC11B	SEC11L2	SPCS4B	157708	ENSG00000226098
SEC11C	SEC11L3	SPC21, SPCS4C	90701	ENSG00000166562
SEC13	D3S1231E, SEC13L1	SEC13R, npp-20	6396	ENSG00000157020
SEC13P1	NA	NA	100131671	ENSG00000223899
SEC14L1	SEC14L	PRELID4A	6397	ENSG00000129657
SEC14L1P1	NA	NA	729799	ENSG00000213693
SEC14L2	C22orf6	TAP, SPF, KIAA1186, KIAA1658, TAP1	23541	ENSG00000100003
SEC14L3	NA	TAP2	266629	ENSG00000100012
SEC14L4	NA	TAP3, dJ130H16.5	284904	ENSG00000133488
SEC14L5	NA	KIAA0420, PRELID4B	9717	ENSG00000103184
SEC14L6	NA	NA	730005	ENSG00000214491
SEC16A	KIAA0310	p250, Sec16L	9919	ENSG00000148396
SEC16B	LZTR2	RGPR, PGPR-p117, Sec16S	89866	ENSG00000120341
SEC22A	SEC22L2	NA	26984	ENSG00000121542
SEC22B	SEC22L1	ERS-24	9554	ENSG00000265808
SEC22B2P	SEC22B2	NA	100996716	ENSG00000274423
SEC22B3P	SEC22B3	NA	100996517	ENSG00000275140
SEC22B4P	NA	NA	102724364	ENSG00000277406
SEC22C	SEC22L3	MGC13261, MGC5373	9117	ENSG00000093183
SEC23A	NA	NA	10484	ENSG00000100934
SEC23A-AS1	NA	NA	105370458	ENSG00000258651
SEC23B	CDAN2	CDA-II, CDAII, HEMPAS	10483	ENSG00000101310
SEC23IP	NA	p125	11196	ENSG00000107651
SEC24A	NA	NA	10802	ENSG00000113615
SEC24AP1	NA	NA	100421166	ENSG00000267361
SEC24B	NA	NA	10427	ENSG00000138802
SEC24B-AS1	NA	1/2-SBSRNA4	100533182	ENSG00000247950
SEC24C	NA	KIAA0079	9632	ENSG00000176986
SEC24D	NA	KIAA0755	9871	ENSG00000150961
SEC31A	SEC31L1	KIAA0905, ABP125, ABP130	22872	ENSG00000138674
SEC31B	SEC31L2	SEC31B-1, DKFZP434M183	25956	ENSG00000075826
SEC61A1	NA	NA	29927	ENSG00000058262
SEC61A2	NA	FLJ10578	55176	ENSG00000065665
SEC61B	NA	NA	10952	ENSG00000106803
SEC61G	NA	SSS1	23480	ENSG00000132432
SEC61G-DT	NA	NA	100996654	ENSG00000234707
SEC61GP1	NA	NA	107985834	ENSG00000224219
SEC62	TLOC1	Dtrp1, HTP1	7095	ENSG00000008952
SEC62-AS1	NA	NA	NA	ENSG00000240373
SEC63	NA	SEC63L, PRO2507, ERdj2, DNAJC23	11231	ENSG00000025796
SEC63D1~withdrawn	SEC63D1	FLJ36760	NA	NA
SEC63P1	NA	NA	100420341	ENSG00000228057
SEC63P2	NA	NA	100420287	ENSG00000250416
SECISBP2	NA	SBP2	79048	ENSG00000187742
SECISBP2L	NA	KIAA0256	9728	ENSG00000138593
SECTM1	NA	K12	6398	ENSG00000141574
SEDC~withdrawn	NA	NA	NA	NA
SEDL~withdrawn	NA	NA	NA	NA
SEH1L	NA	SEH1A, SEH1B, Seh1, SEC13L	81929	ENSG00000085415
SEL1L	NA	IBD2, SEL1L1, Hrd3	6400	ENSG00000071537
SEL1L2	C20orf50	DKFZp434C1826	80343	ENSG00000101251
SEL1L3	NA	KIAA0746	23231	ENSG00000091490
SELE	ELAM1, ELAM	ESEL, CD62E	6401	ENSG00000007908
SELENBP1	NA	hSP56, hSBP, LPSB	8991	ENSG00000143416
SELENOF	NA	SEP15	9403	ENSG00000183291
SELENOH	C11orf31	SELH	280636	ENSG00000211450
SELENOI	EPT1	KIAA1724, SELI, SEPI	85465	ENSG00000138018
SELENOK	NA	SELK	58515	ENSG00000113811
SELENOKP1	NA	NA	100129085	ENSG00000267319
SELENOKP2	NA	NA	100127908	ENSG00000219532
SELENOKP3	NA	NA	100287632	ENSG00000225549
SELENOM	NA	SELM, SEPM	140606	ENSG00000198832
SELENON	RSMD1, MDRS1, SEPN1	SELN, RSS	57190	ENSG00000162430
SELENOO	NA	SELO	83642	ENSG00000073169
SELENOOLP	NA	NA	105376462	ENSG00000227932
SELENOP	SEPP1	SeP, SELP, SEPP	6414	ENSG00000250722
SELENOS	VIMP	SELS, MGC2553, SBBI8, AD-015, SEPS1	55829	ENSG00000131871
SELENOT	NA	SELT	51714	ENSG00000198843
SELENOTP1	NA	NA	645969	ENSG00000233846
SELENOTP2	NA	NA	NA	ENSG00000271585
SELENOV	NA	SELV	348303	ENSG00000186838
SELENOW	SEPW1	SELW	6415	ENSG00000178980
SELENOWP1	SEPW1P	NA	23679	ENSG00000215900
SELL	LYAM1, LNHR	LSEL, LAM1, LAM-1, hLHRc, Leu-8, Lyam-1, PLNHR, CD62L	6402	ENSG00000188404
SELP	GRMP	CD62, PSEL, PADGEM, GMP140, CD62P	6403	ENSG00000174175
SELPLG	NA	PSGL-1, CD162	6404	ENSG00000110876
SEM1	SHFD1, SHFM1, C7orf76	DSS1, Shfdg1, ECD, SHSF1, FLJ42280	7979	ENSG00000127922
SEM1P1	SHFM1P, SHFM1P1	DSS1P1	153842	ENSG00000214857
SEMA3A	SEMAD	SEMA1, SemD, coll-1, Hsema-I	10371	ENSG00000075213
SEMA3B	SEMAA	SemA, semaV, LUCA-1, sema5	7869	ENSG00000012171
SEMA3B-AS1	NA	NA	101928931	ENSG00000232352
SEMA3C	SEMAE	SemE	10512	ENSG00000075223
SEMA3D	NA	coll-2, Sema-Z2	223117	ENSG00000153993
SEMA3E	SEMAH	M-SemaK, KIAA0331, coll-5	9723	ENSG00000170381
SEMA3F	NA	SEMAK, Sema4	6405	ENSG00000001617
SEMA3F-AS1	NA	RBM5-AS1	100129060	ENSG00000235016
SEMA3G	NA	FLJ00014, sem2	56920	ENSG00000010319
SEMA4A	SEMAB	SemB, FLJ12287, CORD10	64218	ENSG00000196189
SEMA4B	SEMAC	SemC, KIAA1745, MGC131831	10509	ENSG00000185033
SEMA4C	SEMAI	Semacl1, Semaf	54910	ENSG00000168758
SEMA4D	SEMAJ, C9orf164	CD100, coll-4, FLJ39737	10507	ENSG00000187764
SEMA4F	SEMAM	SEMAW	10505	ENSG00000135622
SEMA4G	NA	FLJ20590, KIAA1619	57715	ENSG00000095539
SEMA5A	SEMAF	semF	9037	ENSG00000112902
SEMA5A-AS1	NA	NA	101929338	ENSG00000251370
SEMA5B	SEMAG	SemG, KIAA1445, FLJ10372	54437	ENSG00000082684
SEMA6A	SEMAQ	KIAA1368, SEMA6A1, SEMA, HT018	57556	ENSG00000092421
SEMA6A-AS1	NA	NA	101927233	ENSG00000248445
SEMA6A-AS2	NA	NA	105379132	ENSG00000249167
SEMA6B	SEMAN	semaZ, SEMA-VIB, SEM-SEMA-Y	10501	ENSG00000167680
SEMA6C	NA	KIAA1869	10500	ENSG00000143434
SEMA6D	NA	KIAA1479, FLJ11598	80031	ENSG00000137872
SEMA7A	SEMAL	H-Sema-L, CD108	8482	ENSG00000138623
SEMG1	SEMG	CT103	6406	ENSG00000124233
SEMG2	NA	SGII	6407	ENSG00000124157
SEN1~withdrawn	SEN	NA	NA	NA
SEN2	NA	NA	NA	NA
SEN3	NA	NA	NA	NA
SEN6	NA	NA	NA	NA
SEN6A	NA	NA	NA	NA
SEN6B	NA	NA	NA	NA
SENCR	FLI1-AS1	NA	100507392	ENSG00000254703
SENP1	NA	NA	29843	ENSG00000079387
SENP2	NA	SMT3IP2, KIAA1331, DKFZp762A2316, AXAM2	59343	ENSG00000163904
SENP3	NA	DKFZP586K0919, SSP3, DKFZp762A152, SMT3IP1, Ulp1	26168	ENSG00000161956
SENP3-EIF4A1	NA	NA	100533955	ENSG00000277957
SENP5	NA	MGC27076	205564	ENSG00000119231
SENP6	NA	SUSP1, KIAA0797	26054	ENSG00000112701
SENP7	NA	NA	57337	ENSG00000138468
SENP8	PRSC2	NEDP1, DEN1, HsT17512	123228	ENSG00000166192
SEPHS1	NA	SPS, SPS1	22929	ENSG00000086475
SEPHS1P1	NA	NA	NA	ENSG00000182722
SEPHS1P2	NA	NA	100420292	ENSG00000258787
SEPHS1P3	NA	NA	100420189	NA
SEPHS1P4	NA	NA	389873	ENSG00000230146
SEPHS1P6	NA	NA	729399	ENSG00000213938
SEPHS1P7	NA	NA	391428	ENSG00000231926
SEPHS2	NA	SPS2, SPS2b	22928	ENSG00000179918
SEPHS2P1	SEPHS1P5	NA	100420190	ENSG00000250247
SEPSECS	NA	SLA/LP, SLA	51091	ENSG00000109618
SEPSECS-AS1	NA	NA	285540	ENSG00000281501
SEPTIN1	DIFF6, SEPT1	PNUTL3	1731	ENSG00000180096
SEPTIN2	DIFF6, NEDD5, SEPT2	KIAA0158, hNedd5, Pnutl3	4735	ENSG00000168385
SEPTIN2P1	SEPT2P1	NA	NA	ENSG00000227850
SEPTIN3	SEP3, SEPT3	NA	55964	ENSG00000100167
SEPTIN4	PNUTL2, C17orf47, SEPT4	H5, CE5B3, hucep-7, ARTS, hCDCREL-2, MART, FLJ40121	5414	ENSG00000108387
SEPTIN4-AS1	SEPT4-AS1	NA	101927688	ENSG00000264672
SEPTIN5	PNUTL1, SEPT5	HCDCREL-1, H5	5413	ENSG00000184702
SEPTIN6	SEPT6	KIAA0128, SEP2, SEPT2, MGC16619, MGC20339	23157	ENSG00000125354
SEPTIN7	CDC10, SEPT7	CDC3, SEPT7A	989	ENSG00000122545
SEPTIN7-DT	SEPT7-AS1, SEPTIN7-AS1	NA	101928545	ENSG00000228878
SEPTIN7P1	CDC10P, SEPT7P1	NA	317774	ENSG00000259090
SEPTIN7P2	SEPT7B, SEPT13, SEPT7P2	DKFZp313J1114	641977	ENSG00000214765
SEPTIN7P3	SEPT7P3	NA	646913	ENSG00000226102
SEPTIN7P4	SEPT7P4	NA	NA	ENSG00000240651
SEPTIN7P5	SEPT7P5	NA	NA	ENSG00000164740
SEPTIN7P6	SEPT7P6	NA	NA	ENSG00000241007
SEPTIN7P7	SEPT7P7	NA	NA	ENSG00000229897
SEPTIN7P8	SEPT7P8	NA	NA	ENSG00000229000
SEPTIN7P9	CDC10L, SEPT7L, SEPT7P9	bA291L22.2	285961	ENSG00000120555
SEPTIN8	SEPT8	KIAA0202, SEP2	23176	ENSG00000164402
SEPTIN9	MSF, SEPT9	MSF1, KIAA0991, PNUTL4, AF17q25, SeptD1	10801	ENSG00000184640
SEPTIN9-DT	NA	NA	105371907	ENSG00000263718
SEPTIN10	SEPT10	FLJ11619	151011	ENSG00000186522
SEPTIN10P1	SEPT10P1	NA	389662	ENSG00000253541
SEPTIN11	SEPT11	FLJ10849	55752	ENSG00000138758
SEPTIN12	SEPT12	FLJ25410	124404	ENSG00000140623
SEPTIN14	SEPT14	FLJ44060	346288	ENSG00000154997
SEPTIN14P1	SEPT14P1	NA	NA	ENSG00000231523
SEPTIN14P2	SEPT14P2	NA	NA	ENSG00000244528
SEPTIN14P3	SEPT14P3	NA	NA	ENSG00000226008
SEPTIN14P4	SEPT14P4	NA	NA	ENSG00000251155
SEPTIN14P5	SEPT14P5	NA	107105276	NA
SEPTIN14P6	SEPT14P6	NA	107105278	NA
SEPTIN14P7	SEPT14P7	NA	107105280	NA
SEPTIN14P8	SEPT14P8	NA	NA	ENSG00000255464
SEPTIN14P10	SEPT14P10	NA	NA	NA
SEPTIN14P11	SEPT14P11	NA	NA	NA
SEPTIN14P12	SEPT14P12	NA	NA	ENSG00000235748
SEPTIN14P13	SEPT14P13	NA	NA	ENSG00000224813
SEPTIN14P14	SEPT14P14	NA	NA	NA
SEPTIN14P15	SEPT14P15	NA	NA	NA
SEPTIN14P16	SEPT14P16	NA	NA	NA
SEPTIN14P17	SEPT14P17	NA	NA	ENSG00000274886
SEPTIN14P18	SEPT14P18	NA	NA	NA
SEPTIN14P19	SEPT14P19	NA	107105271	ENSG00000281379
SEPTIN14P20	SEPT14P20	NA	NA	NA
SEPTIN14P21	SEPT14P21	NA	107075107	ENSG00000231512
SEPTIN14P22	SEPT14P22	NA	NA	NA
SEPTIN14P23	SEPT14P23	NA	NA	NA
SEPTIN14P24	SEPT14P24	NA	NA	ENSG00000231299
SERAC1	NA	FLJ14917	84947	ENSG00000122335
SERBP1	NA	PAI-RBP1, DKFZP564M2423, CGI-55, HABP4L, PAIRBP1, CHD3IP	26135	ENSG00000142864
SERBP1P1	SERBP1P	NA	389866	ENSG00000213740
SERBP1P2	NA	NA	359996	ENSG00000225878
SERBP1P3	NA	NA	553148	ENSG00000242142
SERBP1P4	NA	NA	100132591	ENSG00000230275
SERBP1P5	NA	NA	442112	ENSG00000249565
SERBP1P6	NA	NA	100420450	ENSG00000248873
SERF1~withdrawn	NA	NA	NA	NA
SERF1A	SERF1	H4F5, 4F5, FAM2A, SMAM1	8293	ENSG00000172058
SERF1AP1	NA	NA	100131921	ENSG00000250813
SERF1B	NA	FAM2B, H4F5C	728492	ENSG00000205572
SERF2	NA	H4F5rel, 4F5REL, FAM2C, HsT17089	10169	ENSG00000140264
SERGEF	NA	DelGEF, Gnefr	26297	ENSG00000129158
SERHL	NA	HS126B42, BK126B4.1, dJ222E13.1	94009	ENSG00000172250
SERHL2	NA	NA	253190	ENSG00000183569
SERINC1	TDE2	TMS-2, TDE1L, KIAA1253	57515	ENSG00000111897
SERINC2	TDE2L	FKSG84, PRO0899, TDE2	347735	ENSG00000168528
SERINC3	TDE1	DIFF33, TDE, SBBI99, TMS-1, AIGP1	10955	ENSG00000132824
SERINC4	NA	FLJ40363	619189	ENSG00000184716
SERINC5	C5orf12	TPO1	256987	ENSG00000164300
SERK1~withdrawn	NA	NA	NA	NA
SERP1	NA	RAMP4, FLJ43424	27230	ENSG00000120742
SERP2	C13orf21	bA269C23.1	387923	ENSG00000151778
SERPINA1	PI	AAT, A1A, PI1, alpha-1-antitrypsin, A1AT, alpha1AT	5265	ENSG00000197249
SERPINA2	PIL, SERPINA2P	ATR, ARGS	390502	ENSG00000258597
SERPINA3	AACT	ACT	12	ENSG00000196136
SERPINA4	PI4	KST, KAL, KLST, kallistatin	5267	ENSG00000100665
SERPINA5	PLANH3, PCI	PAI3, PROCI	5104	ENSG00000188488
SERPINA6	CBG	NA	866	ENSG00000170099
SERPINA7	TBG	NA	6906	ENSG00000123561
SERPINA7P1	NA	NA	100422644	ENSG00000227657
SERPINA8~withdrawn	NA	NA	NA	NA
SERPINA9	NA	CENTERIN, SERPINA11b, GCET1	327657	ENSG00000170054
SERPINA10	NA	PZI, ZPI	51156	ENSG00000140093
SERPINA11	NA	NA	256394	ENSG00000186910
SERPINA12	NA	OL-64, Vaspin	145264	ENSG00000165953
SERPINA13P	SERPINA13	UNQ6121	388007	ENSG00000187483
SERPINA15P	NA	NA	101930744	ENSG00000255033
SERPINB1	ELANH2	EI, PI2, anti-elastase	1992	ENSG00000021355
SERPINB2	PLANH2, PAI2	HsT1201	5055	ENSG00000197632
SERPINB2L1	PAI2L1	NA	NA	NA
SERPINB2L2	PAI2L2	NA	NA	NA
SERPINB3	SCC, SCCA1	T4-A, HsT1196	6317	ENSG00000057149
SERPINB4	SCCA2	PI11, LEUPIN, SCCA-2, SCCA1	6318	ENSG00000206073
SERPINB5	PI5	maspin	5268	ENSG00000206075
SERPINB6	PI6, DFNB91	PTI, CAP	5269	ENSG00000124570
SERPINB7	NA	MEGSIN	8710	ENSG00000166396
SERPINB8	PI8	CAP2	5271	ENSG00000166401
SERPINB8P1	PI8L1, SERPINB11, SERPINBP1	NA	11029	ENSG00000217707
SERPINB9	PI9	CAP3	5272	ENSG00000170542
SERPINB9P1	NA	MGC39372	221756	ENSG00000230438
SERPINB10	PI10	bomapin	5273	ENSG00000242550
SERPINB11	NA	EPIPIN	89778	ENSG00000206072
SERPINB12	NA	YUKOPIN	89777	ENSG00000166634
SERPINB13	PI13	HUR7, hurpin, headpin	5275	ENSG00000197641
SERPINC1	AT3	ATIII, MGC22579	462	ENSG00000117601
SERPIND1	HCF2	HC-II, HLS2, HC2, D22S673	3053	ENSG00000099937
SERPINE1	PLANH1, PAI1	PAI	5054	ENSG00000106366
SERPINE2	PI7	PN1, GDN, PNI, nexin	5270	ENSG00000135919
SERPINE3	NA	NA	647174	ENSG00000253309
SERPINE4P	NA	NA	101930745	ENSG00000258624
SERPINF1	PEDF	EPC-1, PIG35	5176	ENSG00000132386
SERPINF2	PLI	API, ALPHA-2-PI, A2AP, AAP	5345	ENSG00000167711
SERPING1	C1NH	C1IN, C1-INH, HAE1, HAE2, C1INH	710	ENSG00000149131
SERPINH1	CBP1, CBP2, SERPINH2	HSP47, colligen	871	ENSG00000149257
SERPINH1P1	SERPINHP1	bA571F15.6, pshsp47	158172	ENSG00000229207
SERPINH2~withdrawn	CBP2	HSP47, colligen	NA	NA
SERPINI1	PI12	NA	5274	ENSG00000163536
SERPINI2	PI14	PANCPIN, TSA2004, MEPI, pancpin	5276	ENSG00000114204
SERTAD1	NA	SEI1, TRIP-Br1	29950	ENSG00000197019
SERTAD2	NA	TRIP-Br2, KIAA0127, Sei-2	9792	ENSG00000179833
SERTAD3	NA	RBT1	29946	ENSG00000167565
SERTAD4	NA	DJ667H12.2	56256	ENSG00000082497
SERTAD4-AS1	C1orf133	NA	574036	ENSG00000203706
SERTM1	C13orf36	NA	400120	ENSG00000180440
SERTM2	LINC00890	NA	401613	ENSG00000260802
SESN1	NA	SEST1, PA26	27244	ENSG00000080546
SESN2	NA	SES2, DKFZp761M0212, HI95, SEST2	83667	ENSG00000130766
SESN3	NA	SEST3, MGC29667	143686	ENSG00000149212
SESTD1	NA	DKFZp434O0515, Solo	91404	ENSG00000187231
SET	NA	PHAPII, 2PP2A, IPP2A2, TAF-IBETA, IGAAD, TAF-I	6418	ENSG00000119335
SETBP1	NA	SEB, KIAA0437	26040	ENSG00000152217
SETBP1-DT	NA	NA	101927943	ENSG00000267414
SETD1A	NA	KIAA0339, Set1, KMT2F	9739	ENSG00000099381
SETD1B	NA	KIAA1076, Set1B, KMT2G	23067	ENSG00000139718
SETD2	NA	HYPB, HIF-1, KIAA1732, FLJ23184, KMT3A	29072	ENSG00000181555
SETD3	C14orf154	FLJ23027	84193	ENSG00000183576
SETD4	C21orf27, C21orf18	NA	54093	ENSG00000185917
SETD4-AS1	NA	NA	105369295	ENSG00000236677
SETD5	NA	FLJ10707	55209	ENSG00000168137
SETD6	NA	FLJ21148	79918	ENSG00000103037
SETD6P1	NA	NA	106481727	ENSG00000236877
SETD7	NA	KIAA1717, SET7, SET7/9, Set9, KMT7	80854	ENSG00000145391
SETD9	C5orf35	MGC33648	133383	ENSG00000155542
SETDB1	NA	KG1T, KIAA0067, ESET, KMT1E, TDRD21	9869	ENSG00000143379
SETDB2	C13orf4	CLLD8, CLLL8, KMT1F	83852	ENSG00000136169
SETMAR	NA	metnase	6419	ENSG00000170364
SETP1	SETP19	SETP	100133314	ENSG00000258863
SETP2	NA	NA	326277	ENSG00000258893
SETP3	SETP13	NA	619349	ENSG00000266648
SETP4	NA	NA	642869	ENSG00000237211
SETP5	NA	NA	100130014	ENSG00000233998
SETP6	NA	NA	100419178	ENSG00000241319
SETP7	NA	NA	NA	ENSG00000257444
SETP8	NA	NA	100128536	ENSG00000213526
SETP9	NA	NA	100129738	ENSG00000235101
SETP10	NA	NA	100287822	ENSG00000231905
SETP11	NA	NA	100419187	ENSG00000239570
SETP12	NA	NA	100419158	ENSG00000251609
SETP13~withdrawn	NA	NA	NA	NA
SETP14	NA	NA	389168	ENSG00000240489
SETP15	NA	NA	NA	ENSG00000226536
SETP16	NA	NA	649925	ENSG00000254621
SETP17	NA	NA	100130043	ENSG00000255222
SETP19~withdrawn	NA	NA	NA	NA
SETP20	NA	NA	389217	ENSG00000225094
SETP21	NA	NA	100856878	ENSG00000214244
SETP22	NA	NA	642737	ENSG00000213701
SETSIP	SETP18	NA	646817	ENSG00000230667
SETX	ALS4, SCAR1	KIAA0625, AOA2, Sen1	23064	ENSG00000107290
SEZ6	NA	NA	124925	ENSG00000063015
SEZ6L	NA	NA	23544	ENSG00000100095
SEZ6L-AS1	NA	NA	105372974	ENSG00000224192
SEZ6L2	NA	PSK-1, FLJ90517	26470	ENSG00000174938
SF	NA	NA	NA	NA
SF1	ZNF162	ZFM1, ZCCHC25	7536	ENSG00000168066
SF3A1	NA	SF3a120, SAP114, PRPF21, Prp21	10291	ENSG00000099995
SF3A2	NA	SF3a66, SAP62, PRPF11, Prp11	8175	ENSG00000104897
SF3A3	NA	SF3a60, SAP61, PRP9, PRPF9	10946	ENSG00000183431
SF3A3P1	SF3A3P	dJ581P3.1	170548	ENSG00000230568
SF3A3P2	NA	NA	449645	ENSG00000254449
SF3B1	NA	SAP155, SF3b155, PRPF10, Prp10, Hsh155	23451	ENSG00000115524
SF3B2	NA	SAP145, SF3b1, Cus1, SF3b145	10992	ENSG00000087365
SF3B3	NA	SAP130, SF3b130, RSE1, KIAA0017	23450	ENSG00000189091
SF3B4	NA	SAP49, SF3b49, Hsh49	10262	ENSG00000143368
SF3B4P1	SF3B4P	NA	326276	ENSG00000258988
SF3B5	NA	SF3b10, MGC3133, Ysf3	83443	ENSG00000169976
SF3B6	NA	P14, SF3B14a, Ht006, CGI-110, SAP14a	51639	ENSG00000115128
SFD~withdrawn	NA	NA	NA	NA
SFI1	NA	KIAA0542, PISD, PPP1R139	9814	ENSG00000198089
SFMBT1	NA	RU1, DKFZp434L243, SFMBT	51460	ENSG00000163935
SFMBT2	NA	KIAA1617	57713	ENSG00000198879
SFN	NA	YWHAS	2810	ENSG00000175793
SFPQ	NA	PSF, PPP1R140	6421	ENSG00000116560
SFPQP1	SFPQP	NA	23758	ENSG00000224035
SFR1	C10orf78, MEIR5	MEI5, bA373N18.1, FLJ41960	119392	ENSG00000156384
SFR1P1	NA	NA	100130090	ENSG00000227541
SFR1P2	NA	NA	730792	ENSG00000223707
SFRP1	NA	SARP2, FRP, FRP-1	6422	ENSG00000104332
SFRP2	NA	SARP1, SDF-5, FRP-2	6423	ENSG00000145423
SFRP4	NA	frpHE, FRP-4, FRPHE, FRZB-2	6424	ENSG00000106483
SFRP5	NA	SARP3	6425	ENSG00000120057
SFSWAP	SFRS8	SWAP	6433	ENSG00000061936
SFT~withdrawn	NA	NA	NA	NA
SFT2D1	C6orf83	MGC19825, pRGR1	113402	ENSG00000198818
SFT2D2	NA	UNQ512, dJ747L4.C1.2	375035	ENSG00000213064
SFT2D3	NA	MGC5391	84826	ENSG00000173349
SFTA1P	SFTPF	NA	207107	ENSG00000225383
SFTA2	SFTPG	NA	389376	ENSG00000196260
SFTA3	SFTPH	NANCI	253970	ENSG00000229415
SFTP1~withdrawn	NA	NA	NA	NA
SFTP2~withdrawn	NA	NA	NA	NA
SFTP3~withdrawn	NA	NA	NA	NA
SFTP4~withdrawn	NA	NA	NA	NA
SFTPA1	SFTP1	SP-A, SP-A1, COLEC4	653509	ENSG00000122852
SFTPA2	NA	SP-A2, COLEC5	729238	ENSG00000185303
SFTPA3P	SFTPP1, SFTPAP1	COLEC6	100288405	ENSG00000225827
SFTPB	SFTP3	SP-B	6439	ENSG00000168878
SFTPC	SFTP2	SP-C, PSP-C, SMDP2, BRICD6	6440	ENSG00000168484
SFTPD	SFTP4	SP-D, COLEC7	6441	ENSG00000133661
SFTPD-AS1	NA	NA	NA	ENSG00000273372
SFTPI	NA	NA	NA	NA
SFTPJ~withdrawn	SFTPJ	NA	NA	NA
SFTPP1~withdrawn	NA	NA	NA	NA
SFXN1	NA	FLJ12876, SLC56A1	94081	ENSG00000164466
SFXN2	NA	SLC56A2	118980	ENSG00000156398
SFXN3	NA	SFX3, SLC56A3	81855	ENSG00000107819
SFXN4	NA	SLC56A4	119559	ENSG00000183605
SFXN4P1	NA	NA	100418906	ENSG00000270390
SFXN5	NA	BBG-TCC, SLC56A5	94097	ENSG00000144040
SGCA	ADL	SCARMD1, LGMD2D, adhalin, DMDA2, A2	6442	ENSG00000108823
SGCB	LGMD2E	SGC, A3b	6443	ENSG00000163069
SGCD	NA	DAGD, LGMD2F, CMD1L	6444	ENSG00000170624
SGCE	DYT11	NA	8910	ENSG00000127990
SGCEP1	NA	NA	474174	ENSG00000235352
SGCG	DMDA1, MAM, LGMD2C	SCARMD2, DAGA4, SCG3, DMDA, TYPE, A4, MGC130048	6445	ENSG00000102683
SGCZ	NA	ZSG1	137868	ENSG00000185053
SGF29	CCDC101	FLJ32446, TDRD29	112869	ENSG00000176476
SGIP1	NA	DKFZp761D221	84251	ENSG00000118473
SGK1	SGK	NA	6446	ENSG00000118515
SGK2	NA	NA	10110	ENSG00000101049
SGK2~withdrawn	NA	NA	NA	NA
SGK3	SGK2, SGKL	NA	23678	ENSG00000104205
SGLT1~withdrawn	NA	NA	NA	NA
SGLT2~withdrawn	NA	NA	NA	NA
SGM1~withdrawn	NA	KFS, KFS1	NA	NA
SGMS1	TMEM23	MOB, MGC17342, SMS1	259230	ENSG00000198964
SGMS1-AS1	NA	NA	104355295	ENSG00000226200
SGMS2	NA	MGC26963, SMS2	166929	ENSG00000164023
SGO1	SGOL1	NY-BR-85	151648	ENSG00000129810
SGO1-AS1	SGOL1-AS1	NA	NA	ENSG00000231304
SGO1P1	SGOL1P1	NA	100533666	ENSG00000270615
SGO1P2	SGOL1P2	NA	100533661	ENSG00000234304
SGO2	SGOL2	TRIPIN, FLJ25211	151246	ENSG00000163535
SGPL1	NA	SPL	8879	ENSG00000166224
SGPP1	NA	NA	81537	ENSG00000126821
SGPP2	NA	SPP2, FLJ39004	130367	ENSG00000163082
SGSH	NA	HSS, MPS3A, SFMD	6448	ENSG00000181523
SGSM1	RUTBC2	KIAA1941	129049	ENSG00000167037
SGSM2	RUTBC1	KIAA0397	9905	ENSG00000141258
SGSM3	RUTBC3	DJ1042K10.2, RUSC3, RabGAP-5, RABGAP5	27352	ENSG00000100359
SGSM3-AS1	NA	NA	107985538	ENSG00000229999
SGTA	SGT	NA	6449	ENSG00000104969
SGTB	NA	Sgt2, FLJ39002	54557	ENSG00000197860
SH2B1	NA	FLJ30542, SH2B	25970	ENSG00000178188
SH2B2	NA	APS	10603	ENSG00000160999
SH2B3	NA	LNK, IDDM20	10019	ENSG00000111252
SH2D1A	IMD5, LYP	XLP, MTCP1, DSHP, XLPD, EBVS, SAP	4068	ENSG00000183918
SH2D1B	NA	EAT2	117157	ENSG00000198574
SH2D2A	NA	TSAd, F2771	9047	ENSG00000027869
SH2D3A	NA	NSP1	10045	ENSG00000125731
SH2D3C	NA	NSP3	10044	ENSG00000095370
SH2D4A	NA	FLJ20967, SH2A, PPP1R38	63898	ENSG00000104611
SH2D4B	NA	NA	387694	ENSG00000178217
SH2D5	NA	NA	400745	ENSG00000189410
SH2D6	NA	FLJ35993	284948	ENSG00000152292
SH2D7	NA	LOC646892	646892	ENSG00000183476
SH3BGR	NA	21-GARP	6450	ENSG00000185437
SH3BGRL	NA	MGC117402	6451	ENSG00000131171
SH3BGRL2	NA	NA	83699	ENSG00000198478
SH3BGRL3	NA	NA	83442	ENSG00000142669
SH3BP1	NA	ARHGAP43	23616	ENSG00000100092
SH3BP2	NA	RES4-23, CRBM	6452	ENSG00000087266
SH3BP4	NA	NA	23677	ENSG00000130147
SH3BP5	NA	Sab	9467	ENSG00000131370
SH3BP5-AS1	NA	NA	100505696	ENSG00000224660
SH3BP5L	NA	KIAA1720	80851	ENSG00000175137
SH3D1A~withdrawn	NA	NA	NA	NA
SH3D1B~withdrawn	NA	NA	NA	NA
SH3D5~withdrawn	NA	FLJ12406, SH3P12, CAP, KIAA1296	NA	NA
SH3D19	NA	DKFZp434D0215, EVE1, EBP, Kryn, SH3P19, Eve-1	152503	ENSG00000109686
